state,bit_pattern,num_bits,char
0,0x40000000,3,65
0,0x80000000,3,67
0,0xE0000000,3,84
0,0x10000000,4,74
0,0x30000000,4,68
0,0xA0000000,4,83
0,0x00000000,5,72
0,0x20000000,5,73
0,0x28000000,5,82
0,0x68000000,5,70
0,0x70000000,5,46
0,0x78000000,5,87
0,0xB8000000,5,77
0,0xC0000000,5,66
0,0xC8000000,5,80
0,0xD8000000,5,78
0,0x08000000,6,79
0,0x64000000,6,91
0,0xB4000000,6,76
0,0xD4000000,6,69
0,0x0C000000,7,75
0,0xD0000000,7,89
0,0xD2000000,7,71
0,0x0E000000,8,50
0,0x60000000,8,112
0,0x61000000,8,98
0,0x62000000,8,85
0,0x63000000,8,40
0,0xB0000000,8,49
0,0xB3000000,8,86
0,0x0F000000,9,81
0,0xB1000000,9,51
0,0x0F800000,10,57
0,0x0FC00000,10,56
0,0xB1800000,10,54
0,0xB1C00000,10,53
0,0xB2000000,10,90
0,0xB2400000,10,55
0,0xB2800000,10,52
0,0xB2E00000,12,88
0,0xB2F00000,12,32
0,0xB2C80000,13,119
0,0xB2D00000,13,39
0,0xB2D80000,13,34
0,0xB2C00000,14,116
0,0xB2C40000,15,97
0,0xB2C60000,16,96
0,0xB2C70000,17,1
0,0xB2C78000,17,109
0,0x00000000,1,1
0,0x80000000,1,1
1,0x00000000,1,1
1,0x80000000,1,1
3,0x00000000,1,1
3,0x80000000,1,1
4,0x00000000,1,1
4,0x80000000,1,1
5,0x00000000,1,1
5,0x80000000,1,1
6,0x00000000,1,1
6,0x80000000,1,1
7,0x00000000,1,1
7,0x80000000,1,1
8,0x00000000,1,1
8,0x80000000,1,1
9,0x00000000,1,1
9,0x80000000,1,1
10,0x00000000,1,1
10,0x80000000,1,1
11,0x00000000,1,1
11,0x80000000,1,1
12,0x00000000,1,1
12,0x80000000,1,1
13,0x00000000,1,1
13,0x80000000,1,1
14,0x00000000,1,1
14,0x80000000,1,1
15,0x00000000,1,1
15,0x80000000,1,1
16,0x00000000,1,1
16,0x80000000,1,1
17,0x00000000,1,1
17,0x80000000,1,1
18,0x00000000,1,1
18,0x80000000,1,1
19,0x00000000,1,1
19,0x80000000,1,1
20,0x00000000,1,1
20,0x80000000,1,1
21,0x00000000,1,1
21,0x80000000,1,1
22,0x00000000,1,1
22,0x80000000,1,1
23,0x00000000,1,1
23,0x80000000,1,1
24,0x00000000,1,1
24,0x80000000,1,1
25,0x00000000,1,1
25,0x80000000,1,1
26,0x00000000,1,1
26,0x80000000,1,1
27,0x00000000,1,1
27,0x80000000,1,1
28,0x00000000,1,1
28,0x80000000,1,1
29,0x00000000,1,1
29,0x80000000,1,1
30,0x00000000,1,1
30,0x80000000,1,1
31,0x00000000,1,1
31,0x80000000,1,1
32,0x40000000,3,97
32,0x80000000,3,116
32,0x10000000,4,111
32,0x20000000,4,115
32,0x30000000,5,100
32,0x60000000,5,91
32,0x78000000,5,112
32,0xA8000000,5,98
32,0xC8000000,5,99
32,0xD0000000,5,104
32,0xE0000000,5,119
32,0xE8000000,5,105
32,0xF8000000,5,102
32,0x00000000,6,65
32,0x0C000000,6,77
32,0x3C000000,6,101
32,0x70000000,6,66
32,0x74000000,6,67
32,0xA0000000,6,84
32,0xB4000000,6,83
32,0xB8000000,6,103
32,0xC0000000,6,114
32,0xD8000000,6,110
32,0xDC000000,6,108
32,0xF4000000,6,109
32,0x06000000,7,118
32,0x08000000,7,71
32,0x0A000000,7,78
32,0x3A000000,7,121
32,0x6A000000,7,72
32,0x6E000000,7,76
32,0xA4000000,7,74
32,0xA6000000,7,70
32,0xB2000000,7,82
32,0xBC000000,7,117
32,0xC4000000,7,68
32,0xC6000000,7,87
32,0xF2000000,7,80
32,0x04000000,8,107
32,0x05000000,8,79
32,0x68000000,8,45
32,0x6D000000,8,49
32,0xB1000000,8,75
32,0xBE000000,8,106
32,0xF0000000,8,73
32,0xF1000000,8,69
32,0x39000000,9,113
32,0x39800000,9,85
32,0x69000000,9,86
32,0x6C000000,9,89
32,0x6C800000,9,32
32,0xB0800000,9,50
32,0xBF000000,9,0
32,0x38000000,10,51
32,0x38400000,10,56
32,0x38800000,10,54
32,0x69C00000,10,53
32,0xB0000000,10,40
32,0xBF800000,10,55
